"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","100.0","896.0","375.0","1271.0","358891.0","934570.0","1598441.0","30141.0","29415.0","-","1657997.0","663010.0"
"201和歌山市","76.0","641.0","215.0","856.0","239449.0","610086.0","1064250.0","27091.0","1723.0","-","1093064.0","447124.0"
"202海南市","7.0","56.0","23.0","79.0","28473.0","38337.0","83322.0","2956.0","7461.0","-","93739.0","51682.0"
"203橋本市","1.0","8.0","2.0","10.0","χ","χ","χ","-","-","-","χ","χ"
"204有田市","-","-","-","-","-","-","-","-","-","-","-","-"
"205御坊市","-","-","-","-","-","-","-","-","-","-","-","-"
"206田辺市","3.0","12.0","5.0","17.0","3080.0","9178.0","14093.0","-","231.0","-","14324.0","4801.0"
"207新宮市","-","-","-","-","-","-","-","-","-","-","-","-"
"208紀の川市","4.0","23.0","10.0","33.0","12703.0","21037.0","29382.0","94.0","20000.0","-","49476.0","26529.0"
"209岩出市","1.0","11.0","90.0","101.0","χ","χ","χ","-","-","-","χ","χ"
"304紀美野町","1.0","11.0","7.0","18.0","χ","χ","χ","-","-","-","χ","χ"
"341かつらぎ町","-","-","-","-","-","-","-","-","-","-","-","-"
"343九度山町","1.0","1.0","4.0","5.0","χ","χ","χ","-","-","-","χ","χ"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","1.0","5.0","1.0","6.0","χ","χ","χ","-","-","-","χ","χ"
"362広川町","1.0","75.0","8.0","83.0","χ","χ","χ","-","-","-","χ","χ"
"366有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"381美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"382日高町","1.0","3.0","2.0","5.0","χ","χ","χ","-","-","-","χ","χ"
"383由良町","1.0","4.0","-","4.0","χ","χ","χ","-","-","-","χ","χ"
"390印南町","1.0","3.0","2.0","5.0","χ","χ","χ","-","-","-","χ","χ"
"391みなべ町","-","-","-","-","-","-","-","-","-","-","-","-"
"392日高川町","1.0","43.0","6.0","49.0","χ","χ","χ","-","-","-","χ","χ"
"401白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"404上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"406すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"421那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","-","-","-","-","-","-","-","-","-","-","-","-"
