"産業分類","事業所数","在　　　　庫　　　　総　　　　額_年初現在高（A)_（万円）","在　　　　庫　　　　総　　　　額_年末現在高（B）_（万円）","在　　　　庫　　　　総　　　　額_増　減　額(B)-(A)_（万円）","在　　　　庫　　　　総　　　　額_(B)/(A)_（％）","製　造　品　在　庫　額_年初現在高（A)_（万円）","製　造　品　在　庫　額_年末現在高（B）_（万円）","製　造　品　在　庫　額_増　減　額(B)-(A)_（万円）","年初現在高（A)_（万円）","半　製　品　等　在　庫　額_年末現在高（B）_（万円）","半　製　品　等　在　庫　額_増　減　額(B)-(A)_（万円）","原　材　料　等　在　庫　額_年初現在高（A)_（万円）","原　材　料　等　在　庫　額_年末現在高（B）_（万円）","原　材　料　等　在　庫　額_増　減　額(B)-(A)_（万円）"
"総　　数","350.0","39976717.0","35358748.0","-4617969.0","88.4","12691813.0","11300021.0","-1391792.0","10520183.0","9898162.0","-622021.0","16764721.0","14160565.0","-2604156.0"
"09食　料","68.0","1340836.0","1276397.0","-64439.0","95.2","401891.0","419406.0","17515.0","203980.0","184289.0","-19691.0","734965.0","672702.0","-62263.0"
"10飲　料","13.0","232918.0","203795.0","-29123.0","87.5","67131.0","41648.0","-25483.0","112978.0","106024.0","-6954.0","52809.0","56123.0","3314.0"
"11繊　維","27.0","425812.0","426832.0","1020.0","100.2","213882.0","223860.0","9978.0","58334.0","52216.0","-6118.0","153596.0","150756.0","-2840.0"
"12木　材","7.0","177218.0","167129.0","-10089.0","94.3","99513.0","90684.0","-8829.0","700.0","1078.0","378.0","77005.0","75367.0","-1638.0"
"13家　具","4.0","58453.0","39815.0","-18638.0","68.1","17873.0","17962.0","89.0","2568.0","1652.0","-916.0","38012.0","20201.0","-17811.0"
"14紙　パ","6.0","167925.0","153840.0","-14085.0","91.6","60423.0","67056.0","6633.0","49544.0","39771.0","-9773.0","57958.0","47013.0","-10945.0"
"15印　刷","7.0","31675.0","39945.0","8270.0","126.1","12252.0","14214.0","1962.0","6817.0","7583.0","766.0","12606.0","18148.0","5542.0"
"16化　学","34.0","3579161.0","3669375.0","90214.0","102.5","2165124.0","2146875.0","-18249.0","542604.0","580681.0","38077.0","871433.0","941819.0","70386.0"
"17石　油","5.0","15385402.0","12184491.0","-3200911.0","79.2","4806725.0","4169753.0","-636972.0","4340350.0","4031260.0","-309090.0","6238327.0","3983478.0","-2254849.0"
"18プ　ラ","22.0","399475.0","543424.0","143949.0","136.0","189667.0","315518.0","125851.0","74846.0","80077.0","5231.0","134962.0","147829.0","12867.0"
"19ゴ　ム","8.0","119869.0","111554.0","-8315.0","93.1","78693.0","65043.0","-13650.0","35816.0","38063.0","2247.0","5360.0","8448.0","3088.0"
"20皮　革","1.0","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ"
"21窯　業","6.0","187369.0","193483.0","6114.0","103.3","47225.0","52313.0","5088.0","128585.0","126834.0","-1751.0","11559.0","14336.0","2777.0"
"22鉄　鋼","15.0","12898659.0","11524921.0","-1373738.0","89.3","2730948.0","1898079.0","-832869.0","3480600.0","3162405.0","-318195.0","6687111.0","6464437.0","-222674.0"
"23非　鉄","7.0","645535.0","458759.0","-186776.0","71.1","101794.0","124247.0","22453.0","44775.0","47922.0","3147.0","498966.0","286590.0","-212376.0"
"24金　属","31.0","405767.0","383906.0","-21861.0","94.6","123095.0","123728.0","633.0","166923.0","142803.0","-24120.0","115749.0","117375.0","1626.0"
"25は　用","19.0","1150487.0","1261448.0","110961.0","109.6","621903.0","728880.0","106977.0","402173.0","386274.0","-15899.0","126411.0","146294.0","19883.0"
"26生　産","30.0","2000643.0","1896570.0","-104073.0","94.8","789537.0","631908.0","-157629.0","373746.0","392322.0","18576.0","837360.0","872340.0","34980.0"
"27業　務","7.0","411588.0","481242.0","69654.0","116.9","39513.0","54496.0","14983.0","359060.0","387876.0","28816.0","13015.0","38870.0","25855.0"
"28電　子","5.0","66760.0","58856.0","-7904.0","88.2","12100.0","9234.0","-2866.0","38863.0","32192.0","-6671.0","15797.0","17430.0","1633.0"
"29電　気","13.0","82857.0","81060.0","-1797.0","97.8","25512.0","29185.0","3673.0","31662.0","26913.0","-4749.0","25683.0","24962.0","-721.0"
"30情　報","2.0","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ","χ"
"31輸　送","6.0","54166.0","52441.0","-1725.0","96.8","23924.0","15061.0","-8863.0","12819.0","18536.0","5717.0","17423.0","18844.0","1421.0"
"32そ　他","7.0","125979.0","120246.0","-5733.0","95.4","51525.0","49244.0","-2281.0","47162.0","46231.0","-931.0","27292.0","24771.0","-2521.0"
