"産　業　分　類","事業所数","用途別工業用水量　（立方メートル／日）_淡水_ボイラ用水","用途別工業用水量　（立方メートル／日）_淡水_原料用水","用途別工業用水量　（立方メートル／日）_淡水_製品処理用水・洗じょう用水","用途別工業用水量　（立方メートル／日）_淡水_冷却・温調用","用途別工業用水量　（立方メートル／日）_淡水_その他","用途別工業用水量　（立方メートル／日）_淡水_合計"
"総　　数","350.0","24807.0","6192.0","88057.0","1524333.0","32143.0","1675532.0"
"０9食料品製造業","68.0","937.0","1726.0","45397.0","10193.0","794.0","59047.0"
"10飲料・たばこ・飼料製造業","13.0","577.0","2579.0","3119.0","4678.0","356.0","11309.0"
"11繊維工業","27.0","1812.0","-","11076.0","3732.0","248.0","16868.0"
"12木材・木製品製造業（家具を除く）","7.0","107.0","-","2.0","5.0","77.0","191.0"
"13家具・装備品製造業","4.0","8.0","-","16.0","4.0","5.0","33.0"
"14パルプ・紙・紙加工品製造業","6.0","30.0","-","181.0","59.0","61.0","331.0"
"15印刷・同関連業","7.0","-","-","43.0","1.0","14.0","58.0"
"16化学工業","34.0","3385.0","1873.0","13596.0","261501.0","1664.0","282019.0"
"17石油製品・石炭製品製造業","5.0","11338.0","-","126.0","214421.0","5974.0","231859.0"
"18プラスチック製品製造業（別掲を除く）","22.0","224.0","-","200.0","2752.0","418.0","3594.0"
"19ゴム製品製造業","8.0","92.0","-","115.0","1736.0","1095.0","3038.0"
"20なめし革・同製品・毛皮製造業","1.0","-","-","-","-","χ","χ"
"21窯業・土石製品製造業","6.0","258.0","14.0","1950.0","338.0","66.0","2626.0"
"22鉄鋼業","15.0","5850.0","-","10216.0","1023858.0","18440.0","1058364.0"
"23非鉄金属製造業","7.0","71.0","-","43.0","28.0","52.0","194.0"
"24金属製品製造業","31.0","21.0","-","865.0","50.0","1066.0","2002.0"
"25はん用機械製造業","19.0","76.0","-","226.0","441.0","172.0","915.0"
"26生産用機械器具製造業","30.0","-","-","263.0","373.0","192.0","828.0"
"27業務用機械器具製造業","7.0","-","-","2.0","8.0","300.0","310.0"
"28電子部品・デバイス・電子回路製造業","5.0","-","-","150.0","12.0","32.0","194.0"
"29電気機械器具製造業","13.0","-","-","15.0","19.0","78.0","112.0"
"30情報通信機械器具製造業","2.0","-","-","-","-","χ","χ"
"31輸送用機械器具製造業","6.0","-","-","363.0","65.0","201.0","629.0"
"32その他の製造業","7.0","21.0","-","93.0","59.0","788.0","961.0"
