"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","現金給与総      額_（万円）","原 材 料使用額等_（万円）","製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　数","25.0","628.0","222.0","850.0","334631.0","609479.0","1427382.0","330216.0","3640.0","220.0","1761458.0","1007334.0"
"201和歌山市","4.0","98.0","46.0","144.0","49439.0","47645.0","120658.0","30846.0","145.0","220.0","151869.0","80692.0"
"202海南市","3.0","19.0","4.0","23.0","9556.0","7207.0","32545.0","-","-","-","32545.0","23637.0"
"203橋本市","5.0","147.0","79.0","226.0","77391.0","187912.0","438620.0","31983.0","-","-","470603.0","228987.0"
"204有田市","-","-","-","-","-","-","-","-","-","-","-","-"
"205御坊市","-","-","-","-","-","-","-","-","-","-","-","-"
"206田辺市","2.0","11.0","2.0","13.0","χ","χ","χ","χ","-","-","χ","χ"
"207新宮市","-","-","-","-","-","-","-","-","-","-","-","-"
"208紀の川市","2.0","104.0","38.0","142.0","χ","χ","χ","χ","-","-","χ","χ"
"209岩出市","1.0","6.0","4.0","10.0","χ","χ","χ","-","χ","-","χ","χ"
"304紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"341かつらぎ町","1.0","5.0","-","5.0","χ","χ","χ","χ","χ","-","χ","χ"
"343九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"344高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"361湯浅町","-","-","-","-","-","-","-","-","-","-","-","-"
"362広川町","-","-","-","-","-","-","-","-","-","-","-","-"
"366有田川町","1.0","9.0","-","9.0","χ","χ","χ","χ","-","-","χ","χ"
"381美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"382日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"383由良町","3.0","197.0","32.0","229.0","105846.0","124874.0","478459.0","105893.0","284.0","-","584636.0","426298.0"
"390印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"391みなべ町","1.0","10.0","1.0","11.0","χ","χ","χ","-","-","-","χ","χ"
"392日高川町","1.0","9.0","12.0","21.0","χ","χ","-","χ","-","-","χ","χ"
"401白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"404上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"406すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"421那智勝浦町","1.0","13.0","4.0","17.0","χ","χ","χ","-","χ","-","χ","χ"
"422太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"424古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"427北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"428串本町","-","-","-","-","-","-","-","-","-","-","-","-"
