"従業者規模","事業所数","従　　業　　者　　数_常用労働者_男_（人）","従　　業　　者　　数_常用労働者_女_（人）","従　　業　　者　　数_常用労働者_小計_（人）","従　　業　　者　　数_個人事業主等_男_（人）","従　　業　　者　　数_個人事業主等_女_（人）","従　　業　　者　　数_個人事業主等_小計_（人）","従　　業　　者　　数_合　計_（人）","現金給与総      額（万円）","原   材   料使 用 額 等（万円）","製　造　品　出　荷　額　等_製造品出荷額_（万円）","製　造　品　出　荷　額　等_加工賃収入額_（万円）","製　造　品　出　荷　額　等_その他収入額_（万円）","製　造　品　出　荷　額　等_くず・廃物の出荷額_（万円）","製　造　品　出　荷　額　等_合   計_（万円）","付加価値額　　（万円）","従業者規　模"
"総数","1829.0","33509.0","16108.0","49617.0","350.0","174.0","524.0","50141.0","1.9511527E7","2.02049015E8","2.85005138E8","8152518.0","6002335.0","336993.0","2.99496984E8","7.9246432E7","総数"
"総数_  4～  9人","807.0","2553.0","1977.0","4530.0","291.0","151.0","442.0","4972.0","1195121.0","3360598.0","5205082.0","668952.0","296996.0","251.0","6171281.0","2621315.0","  4～  9人"
"総数_ 10～ 19人","478.0","3815.0","2618.0","6433.0","54.0","22.0","76.0","6509.0","1894581.0","6519999.0","9590905.0","1119172.0","618846.0","-","1.1328923E7","4486621.0"," 10～ 19人"
"総数_ 20～ 29人","194.0","2941.0","1817.0","4758.0","4.0","1.0","5.0","4763.0","1531726.0","5293237.0","8114651.0","736774.0","349842.0","-","9201267.0","3641022.0"," 20～ 29人"
"総数_ 30～ 99人","272.0","9750.0","4651.0","14401.0","1.0","-","1.0","14402.0","5282289.0","3.0845421E7","4.1679719E7","3085374.0","2280877.0","2626.0","4.7048596E7","1.3966047E7"," 30～ 99人"
"総数_100～299人","67.0","7028.0","3326.0","10354.0","-","-","-","10354.0","4066239.0","2.2539746E7","3.1703977E7","2389084.0","1126037.0","36.0","3.5219134E7","1.0954913E7","100～299人"
"総数_300人以上","11.0","7422.0","1719.0","9141.0","-","-","-","9141.0","5541571.0","1.33490014E8","1.88710804E8","153162.0","1329737.0","334080.0","1.90527783E8","4.3576514E7","300人以上 "
"09　食料","408.0","3391.0","5443.0","8834.0","129.0","56.0","185.0","9019.0","2018035.0","9524126.0","1.3905037E7","504997.0","561772.0","-","1.4971806E7","4793474.0","09　食料"
"09　食料_  4～  9人","180.0","345.0","679.0","1024.0","106.0","48.0","154.0","1178.0","185492.0","539229.0","900536.0","23355.0","28088.0","-","951979.0","385027.0","  4～  9人"
"09　食料_ 10～ 19人","110.0","503.0","960.0","1463.0","22.0","8.0","30.0","1493.0","325705.0","1175426.0","1692175.0","59674.0","117682.0","-","1869531.0","647574.0"," 10～ 19人"
"09　食料_ 20～ 29人","50.0","451.0","780.0","1231.0","1.0","-","1.0","1232.0","299612.0","1087796.0","1823357.0","11264.0","32873.0","-","1867494.0","727331.0"," 20～ 29人"
"09　食料_ 30～ 99人","56.0","1265.0","1591.0","2856.0","-","-","-","2856.0","744179.0","3948355.0","5570571.0","302777.0","285685.0","-","6159033.0","1940787.0"," 30～ 99人"
"09　食料_100～299人","11.0","682.0","961.0","1643.0","-","-","-","1643.0","χ","χ","χ","107927.0","χ","-","χ","χ","100～299人"
"09　食料_300人以上","1.0","145.0","472.0","617.0","-","-","-","617.0","χ","χ","χ","-","χ","-","χ","χ","300人以上 "
