"従業者規模","事業所数","従業者数","製造品出荷額等","付加価値額"
"総　　数","1829.0","50141.0","299496984.0","79246432.0"
"総　　数_  4～  9人","807.0","4972.0","6171281.0","2621315.0"
"総　　数_ 10～ 19人","478.0","6509.0","11328923.0","4486621.0"
"総　　数_ 20～ 29人","194.0","4763.0","9201267.0","3641022.0"
"総　　数_ 30～ 99人","272.0","14402.0","47048596.0","13966047.0"
"総　　数_100～299人","67.0","10354.0","35219134.0","10954913.0"
"総　　数_300人以上","11.0","9141.0","190527783.0","43576514.0"
"和歌山市","643.0","21601.0","156303440.0","52257100.0"
"和歌山市_  4～  9人","268.0","1630.0","2130894.0","855934.0"
"和歌山市_ 10～ 19人","181.0","2505.0","5106305.0","1912459.0"
"和歌山市_ 20～ 29人","72.0","1770.0","4130155.0","1409636.0"
"和歌山市_ 30～ 99人","93.0","4880.0","20191199.0","5259331.0"
"和歌山市_100～299人","22.0","3603.0","11434522.0","3719772.0"
"和歌山市_300人以上","7.0","7213.0","113310365.0","39099968.0"
"海南市","172.0","4003.0","32991900.0","11393074.0"
"海南市_  4～  9人","84.0","500.0","615701.0","232157.0"
"海南市_ 10～ 19人","42.0","556.0","813649.0","322092.0"
"海南市_ 20～ 29人","16.0","404.0","464577.0","226806.0"
"海南市_ 30～ 99人","22.0","1213.0","5215196.0","1880263.0"
"海南市_100～299人","7.0","1011.0","χ","χ"
"海南市_300人以上","1.0","319.0","χ","χ"
"橋本市","114.0","1756.0","2759466.0","1161345.0"
"橋本市_  4～  9人","60.0","364.0","367847.0","177957.0"
"橋本市_ 10～ 19人","30.0","399.0","626625.0","218732.0"
"橋本市_ 20～ 29人","13.0","314.0","460898.0","248761.0"
"橋本市_ 30～ 99人","9.0","439.0","χ","χ"
"橋本市_100～299人","2.0","240.0","χ","χ"
"橋本市_300人以上","-","-","-","-"
"有田市","65.0","2171.0","64450553.0","-915889.0"
"有田市_  4～  9人","33.0","202.0","248302.0","97429.0"
"有田市_ 10～ 19人","16.0","227.0","329423.0","129907.0"
"有田市_ 20～ 29人","1.0","28.0","χ","χ"
"有田市_ 30～ 99人","11.0","439.0","1068136.0","356139.0"
"有田市_100～299人","2.0","283.0","χ","χ"
"有田市_300人以上","2.0","992.0","χ","χ"
"御坊市","51.0","1157.0","2834859.0","885175.0"
"御坊市_  4～  9人","20.0","120.0","93150.0","46055.0"
"御坊市_ 10～ 19人","13.0","159.0","191008.0","71207.0"
"御坊市_ 20～ 29人","8.0","195.0","335155.0","119110.0"
"御坊市_ 30～ 99人","7.0","334.0","1721187.0","486185.0"
"御坊市_100～299人","3.0","349.0","494359.0","162618.0"
"御坊市_300人以上","-","-","-","-"
"田辺市","146.0","2602.0","3928864.0","1542133.0"
"田辺市_  4～  9人","68.0","412.0","355771.0","179627.0"
"田辺市_ 10～ 19人","37.0","499.0","554376.0","252757.0"
"田辺市_ 20～ 29人","19.0","463.0","χ","χ"
"田辺市_ 30～ 99人","20.0","899.0","1643282.0","569025.0"
"田辺市_100～299人","2.0","329.0","χ","χ"
"田辺市_300人以上","-","-","-","-"
"新宮市","32.0","595.0","939799.0","484294.0"
"新宮市_  4～  9人","18.0","118.0","279779.0","129751.0"
"新宮市_ 10～ 19人","10.0","135.0","297992.0","138830.0"
"新宮市_ 20～ 29人","2.0","45.0","χ","χ"
